tweet,label
Menpora Zainudin Amali Sebut Tragedi Stadion Kanjuruhan Tak Pengaruhi Rencana Piala Dunia U-20 2023  https://t.co/4Io4cSCjti  https://t.co/btYHO9n8o1,pro
"Hari Ini, TGIPF Panggil PSSI hingga PT LIB untuk Investigasi Tragedi di Stadion Kanjuruhan  https://t.co/3yxeysCrsS  https://t.co/kKd1HtLPuV",pro
"- Korban meninggal dunia dalam tragedi di Stadion Kanjuruhan, Malang, Jawa Timur, bertambah.Pada Se  #berita #nasional   https://t.co/IABhleC4DD",kontra
"Tiba di Malang, Presiden Jokowi langsung jenguk korban luka tragedi Kanjuruhan @jokowi  https://t.co/IxKvD5BSDo",pro
"Meski 6 Tersangka Sudah Ditetapkan Pasca Tragedi Kanjuruhan, Aremania Tetap Minta Tanggung Jawab Ketum PSSI  https://t.co/3YbelB1O8G  https://t.co/kIggGB1tRZ",kontra
"tuan jokowi, mengapa sampeyan tidak meminta maaf dan menystakan bertanggung jawab kepada ratusan korban mati dan atau luka luka dalam Tragedi Kanjuruhan?#dimanarasakemanusiaansampeyan?!",kontra
"Innalillahiâ€¦ hari ini ada 1 orang lg meninggal krn tragedi kanjuruhan. Rest in peace, rest in power ğŸ˜­â¤ï¸",pro
Identitas Suporter Arema FC yang Lakukan Perusakan saat Tragedi Kanjuruhan Dikantongi Polisi  #aremafc #TragediKanjuruhan  https://t.co/fu8mD7sXAs,pro
"Datangi Rumah Naswa, Korban Tragedi Kanjuruhan, Kapolres Malang Berikan Santunan dan BantuanÂ Pengobatan  https://t.co/J9Xb4Qv8n8",pro
Korban Tragedi Stadion Kanjuruhan Dapat Dukungan dari Klub Papan Atas Liga Swiss!  https://t.co/fBCyeZKklt  https://t.co/g9WcHymGG9,pro
TGIPF Bilang PSSI Bersikukuh Tidak Bertanggung Jawab Terhadap Tragedi Kanjuruhan â€“ ViVA â€“  https://t.co/ECN0bBdnIj â€“Â #Arenanews  https://t.co/fxYhRDHaqj,kontra
"Bertambah Satu Orang yang Berpulang, Korban Meninggal Dunia Tragedi Kanjuruhan Jadi 132 Jiwa  https://t.co/VYiDbMtYjF",kontra
"Belasungkawa Atas Tragedi Stadion Kanjuruhan, Cadiz Kibarkan Bendera Indonesia Setengah Tiang  https://t.co/ZjIMrBsJKk  https://t.co/GPGO7VVRqq",pro
@detikcom Loncat sana..loncat sini...apah g malu..apah g ada yg mau bertanggung jawab atas tragedi kanjuruhan..,kontra
"Komisi X DPR RI akan Bentuk Pansus Terkait Tragedi Kanjuruhan, Malang  https://t.co/8F59cQB4Yy  https://t.co/9hJ66E218m",pro
Mengenang sepekan tragedi Kanjuruhan dari Sumenep   https://t.co/hcTH9RBYvO,pro
Pemerintah Pastikan Pengobatan Korban Tragedi Kanjuruhan 100% Gratis #LengkapCepatBeritanya #BeritaTerkini #Berita #News #BeritaNasional .  https://t.co/jph0oYjcg4,pro
Markas PSM Makassar terancam tak dapat menggunakan GBH jika PSSI perketat standar Stadion sesuai saran FIFA imbas dari Tragedi Kanjuruhan.  https://t.co/j0ScVsOBHq,kontra
"Kini jumlah korban meninggal dalam Tragedi Kanjuruhan menjadi 132 orang, Komnas HAM membeberkan temuannya soal penyebab utama. -    https://t.co/dahCx1qPhE",kontra
Alvin Lim Curiga Tragedi Kanjuruhan Disengaja demi Balas Jasa ke Ferdy Sambo: Gak Sangka Korban Banyak  https://t.co/OvKXIspw4Y,kontra
Dua Poin Gelap Tragedi Kanjuruhan yang Disorot TGIPF  https://t.co/tD0MK8gvsg,kontra
"Tiga hari bertemu korban tragedi Kanjuruhan. Sama seperti saya, mereka heran mengapa aparat keamanan tega menembakkan gas air mata ke arah tribun. Di sisi lain pintu gate 13 dikunci rapat dan menjadi â€œkuburanâ€. Kini korban trauma. Enam tersangka tak cukup.   Usut sampai Tuntas!  https://t.co/73b03EdqnL",kontra
"Ada 132 nyawa melayang, apa dianggap angin lalu?.  https://t.co/Ux3wVgaPcx  Dua dari 6 tersangka Tragedi Kanjuruhan telah menjalani pemeriksaan selama 12 jam di Mapolda Jatim. Penyidik memutuskan tidak menahan AH dan SS.",kontra
@pejuangdolars all yg terlibat tragedi kanjuruhan pada cuci tangan tidak aneh saling lempar tanggung jawab,kontra
"Tragedi Kanjuruhan: Bertambah Satu Orang, Jadi Total 132 KorbanÂ Jiwa  https://t.co/D6Z1ISAAsu",pro
"@VIVAcoid Sudahlah pak @ListyoSigitP si ade armando krangkeng saja,memperkeruh suasana.  Rakyat cari kerja udah susah malah timbul tragedi kanjuruhan,orang pengangguran gampang emosi,jangan gara2 1 provokator indonesia jd chaos. Gara2 1 orang picu masa ng",kontra
Hari Ini Dirut LIB dan 3 Polisi Tersangka Tragedi Kanjuruhan Diperiksa  https://t.co/UEpmdhMBeH  https://t.co/7n9ubN5VLI,kontra
"Rekonstruksi tragedi Kanjuruhan nanti 40rb anggota polri dan bhayangkari di masukkan dalam stadion, pintunya dikunci, lalu ditembakkan gas air mata sesuai jumlah yg ada di video2, saya rasa rekonstruksi akan berjalan aman dan tidak mematikan.",kontra
Shambo happy kali ye kasus nya ketutup sama tragedi kanjuruhan!!,kontra
"Bela Habis Anak Kaisar Sambo, Tragedi Kanjuruhan 33 Anak Tewas! Kak Seto Kemana?  https://t.co/tpFzDuegSl",kontra
"Diperiksa Lagi di Tragedi Kanjuruhan, Panpel Arema FC Abdul Haris: Kita Taat Hukum  https://t.co/SzpOUH3AWn baca juga berita dari media lainnya di Indonesia di  https://t.co/GkwQxScnBB   #malang #tersangka #arema #jawatimur #tragedikanjuruhan #vivabola #aremafc",kontra
@Jokowi @mohmahfudmd   132 Nyawa saudara kita Meninggal dalam tragedi Stadion KANJURUHAN Sdh ada tersangka kita lihat nanti @KejaksaanRI  dan @MahkamahAgung bagaimana mereka menuntut dan memvonis apa lebih rendah dari Pelanggaran Prokes. Kalo itu terjadi ,kontra
TGIPF Tragedi Kanjuruhan Panggil Sejumlah Pihak untuk Klarifikasi | Fokus Sejumlah pihak dipanggil TGIPF tragedi Kanjuruhan untuk memberikan klarifikasi di Kantor Kemenko Polhukam Jakarta pada ... @IndosiarTV  https://t.co/hzfb0Ggqvt,pro
Rocky Gerung Heran Jokowi Salahkan Pintu dan Tangga di Tragedi Kanjuruhan: Kan Kepanikan Datangnya dari Gas Air Mata..  https://t.co/414FNRvzZ6,kontra
"Akar masalah Tragedi Kanjuruhan ialah Kebutuhan Hidup Layak yg blm tercukupi, shg org mdh marah &amp; beringas. Pemerintah &amp; DPR blm mampu tetapkan UMN setara KHL/PTKP Rp 4,5 jt/bln, padahal dahsyat dampaknya. PPh melejit puluhan jt WP, APBN kuat dukung Subsidi, Rakyat lbh ""Sareh"".",kontra
@TirtoID Menurut polisi tragedi kanjuruhan adalah takdir dari Tuhan,pro
"Investigasi Tragedi Kanjuruhan Selesai Lebih Cepat, TGIPF Akan Laporkan ke Jokowi Hari Jumat  https://t.co/DWqcOXsNCM",kontra
"BGM KLAU POLISI DAN KLGNYA DIBANTAI BEGI NI?APA MEREKA MAU TER IMA?.                               Polisi Sebut Penggunaan Gas Air Mata di Tragedi Kanjuruhan Sudah Sesuai Prosedur, Rocky Gerung: Bunuh, Investigasi, Ngarang  https://t.co/ASLiMwfP3R",kontra
"Tim FIFA ke Indonesia, Bahas Tragedi Kanjuruhan dan Sanksi untuk Indonesia?  https://t.co/aWHirs5xGM",kontra
Kejadian pilu Tragedi Kanjuruhan telah menyita perhatian dunia. Muncul kekhawatiran peristiwa tersebut berpengaruh pada status tuan rumah Piala Dunia U-20 2023. #PialaDuniaU-20  https://t.co/RBpdvZMlMR,kontra
" https://t.co/geXwjVZ9wR  *Ini dia sosok yang bertanggungjawab atas Tragedi Kanjuruhan. Kali Pertama muncul di depan awak media setelah menjadi tersangka. Apa yang dikatakannya? Baca cerita selengkapnya di sini, kemudian LIKE &amp; SHARE. Terima kasih*ğŸ™ğŸ»ğŸ™ğŸ»ğŸ™ğŸ»ğŸ™ğŸ»ğŸ‡®ğŸ‡©",kontra
"Tragedi Kanjuruhan: Pemerintah Indonesia Waspadai Sanksi FIFA, Memori 2015 Bakal Terulang?  https://t.co/tTZNPchOBL",kontra
Alasannya jatim berduka karna tragedi Kanjurahan Feeling ku gadapat izin dari polisi,kontra
Anggota Komisi III DPR RI Fraksi PPP Arsul Sani menilai tragedi Kanjuruhan bukan penyebab Irjen Nico dimutasi.  https://t.co/FgRCbFbxIW,kontra
"Imbas Tragedi Kanjuruhan, Piala Dunia U20 Tahun 2023 Batal Digelar di Indonesia?  https://t.co/wbkJjHONRf",kontra
Anggota Komisi III DPR RI Fraksi PPP Arsul Sani menilai tragedi Kanjuruhan bukan penyebab Irjen Nico dimutasi.  https://t.co/yYEhqIzOOb,kontra
"Diperiksa Lagi di Tragedi Kanjuruhan, Panpel Arema FC Abdul Haris: Kita Taat Hukum  https://t.co/pp8o1WGVYf",kontra
"Keberhasilan Menteri BUMN @erickthohir yang berperan besar menyelamatkan sepakbola Indinesia pasca tragedi Kanjuruhan mendapat apresiasi dari berbagai kalangan, tidak terkecuali dari para kelompok suporter. #BangkitBersamaET  https://t.co/w1mfzh4Ej8",pro
Laporan TGIPF Tragedi Kanjuruhan Sudah Siap di Meja Presiden JumatÂ Besok  https://t.co/xdcalwY28w,pro
"@Robbi_07 @Irwandwinugroho @detikcom Berarti LIB terlalu rakus sehingga tidak memperdulikan kepentingan klub dan keselamatan suporter. Apalagi dana yg diteruskan klub nilainya juga kecil. Tapi, gobloknya klub juga manut2 saja. Lihat, sekarang berapa gelin",kontra
Pernyataan Polri soal gas air mata bukanlah penyebab utama kematian ratusan orang dalam tragedi Kanjuruhan menuai kritik. Kepolisian dinilai tengah menolak konsep kausalitas dalam tragedi Kanjuruhan.   https://t.co/nt22LQPL8E,kontra
@siapkawalpolri Kapolri @ListyoSigitP langsung sat set dlm menangani tragedi Kanjuruhan kemrin. Smoga Polri bisa menyelesaikan kasus ini dengan adil dan cepat,pro
Aremania akhirnya melaporkan Ade Armano usai ujarannya bahwa Aremania Sok Jago dan bersikap seperti preman dalam tragedi Kanjuruhan.  via @detik_jatim  https://t.co/FrqcgjYHBM,kontra
"Naswa, korban selamat tragedi Kanjuruhan mengaku masih sulit menggerakan tangan dan kakinya. Matanya pun masih merah terkena gas air mata.  https://t.co/WAOkWDDaHn",kontra
"Masih Dalam Berduka BLINK INDONESIA melakukan penggalangan dana untuk korban dan keluarga korban Tragedi Kanjuruhan Malang. Donasi dapat disampaikan melalui link berikut.   https://t.co/XzzP0THYyU  Terima kasih atas kebaikan teman-teman semua. Duka ini, duka kita bersamağŸ¥€  https://t.co/Ap7MlQmuBR",pro
"AKBP Putu Ungkap Penyebab Kematian Helen, Korban Meninggal ke-132 di Tragedi Kanjuruhan  https://t.co/CtNdzWWMUV  https://t.co/zXvgKt4Zoy",kontra
"Polri menegaskan gas air mata, termasuk yang digunakan anggotanya dalam tragedi Kanjuruhan, tidak mematikan. Polri menjelaskan pendapat itu dikeluarkan oleh pakar-pakar racun dan gas air mata.  https://t.co/LfkMZCf8NX.  https://t.co/fCdEccXYCi",kontra
"Disaat kita sedang fokus #USUTTUNTAS Tragedi Kanjuruhan, bahkan Pak Jokowi saja sampai ikut turun tangan menyelesaikan sistem bobrok persepakbolaan Indonesia! Lu malah bahas UCL?  NURANI LU GA ADA BABAR BLAS..   TAK DOAKAN KOWE ANYANG-ANYANGEN SEMINGGU!  https://t.co/WD20hZXpLI",kontra
Polisi Tak Menahan Tersangka Tragedi KanjuruhanÂ Malang  https://t.co/I3Nf7QImVa,kontra
"Soal Gas Air Mata Kadaluarsa Tragedi Kanjuruhan, Mahfud MD: Sedang Diperiksa di Laboratorium: Polri telah mengakui kalau gas air mata yang dipakai saat mengamankan laga Arema Vs Persebaya di Stadion Kanjuruhan, Malang telah kadaluarsa.  baca selengkapnyaâ€¦  https://t.co/M2JF7QReQG",kontra
Panpel Arema FC Terang-terangan Sebut Nama Ketua PSSI untuk Diseret Jadi Tersangka Tragedi Kanjuruhan  https://t.co/7dwumIMA7X,kontra
"@FeryNdut1 Pagi tadi baca @LaporMonggo ada bbrp laporan ttg vandalisme, yg terakhir ttg rambu &amp; halte ditempeli pamlet ... Sungguh disayangkan, solidaritas tragedi kanjuruhan tp nempel di rambu LL, bisa timbul bencana (Laka LL) jika rambu tertutup/ter",kontra
Tau ga..kasus sambo hanya kalah oleh berita  KDRT Lesti Billard dan tragedi kanjuruhan. Manakah yang di setting oleh isilop?,kontra
3 Polisi Tersangka Tragedi Kanjuruhan Diperiksa Siang Ini di Polda Jatim  https://t.co/fO03aA0Emy,pro
Tiga polisi tersangka tragedi Kanjuruhan diperiksa di Polda Jatim siang ini. Sebelumnya mereka meminta pemeriksaan ditunda untuk menyiapkan penasihat hukum.  https://t.co/GabO0FsJUN,pro
"Effect Tragedi Kanjuruhan   Effect tragedi kanjuruhan  akan berpengaruh untuk suara pemilih lari ke anies di jatim bila casenya merugikan korban,kata kawan sayağŸ˜€âœŒ",kontra
Kasus Sambo setelah Tragedi Kanjuruhan sampai mana ya? #UsutTuntas,kontra
"Komnas HAM akan menyampaikan hasil investigasinya atas tragedi Kanjuruhan kepada publik, hari ini Rabu (12/10/2022) siang. -    https://t.co/O6eFLMAcVg",pro
PSM Makassar menjadi tim yang tetap intens menggelar latihan meski Liga 1 dihentikan sementara imbas Tragedi Kanjuruhan.  https://t.co/qiXGqdliUo,pro
Tiga polisi tersangka tragedi Kanjuruhan diperiksa di Polda Jatim siang ini. Sebelumnya mereka meminta pemeriksaan ditunda untuk menyiapkan penasihat hukum.  https://t.co/UCVktO2WPx,pro
"Korban meninggal dunia dalam tragedi Kanjuruhan bertambah satu orang, sehingga totalnya menjadi 132 orang. Menurut salah satu dokter RSSA, dr. Arie Zainul Fatoni, korban wanita bernama Helen Prisela ini meninggal dunia karena mengalami gagal napas akut. #MostUpdate1058",kontra
"@prima_sulistya Versi TGIPF pimpinan @mohmahfudmd bisa jadi lebih sedikit lagi. Seperti halnya jumlah korban yg dihitung hanya yg ketemu identitasnya, yg ga ada identitasnya tidak dianggap korban tragedi kanjuruhan",kontra
"Pasca Tragedi Kanjuruhan, Luis Milla Apresiasi Pemain Persib Bandung yang Tetap ...  https://t.co/j3IG6dVi6F",pro
"@tempodotco dan effect tragedi kanjuruhan juga akan berpengaruh untuk suara pemilih lari ke anies di jatim bila casenya merugikan korban,kata kawan sayağŸ˜€âœŒ",kontra
"Kesaksian Naswa,  Korban Tragedi Kanjuruhan,  Mata Masih Merah, Pusing,  hingga Dada Sesak akibat Gas Air Mata   https://t.co/UBr2EFBejV  https://t.co/Fmbn3w943X",kontra
@siapkawalpolri Terdapat 19 Polisi yg bakal diperiksa. Kapolri @ListyoSigitP harus mengusut tuntas kasus ini. Siapa tau juga masih ada Polisi yg terlibat dlm tragedi Kanjuruhan ini.,pro
"Rasa trauma akibat tragedi kanjuruhan dirasakan mbak diby fadilah. Rupanya, gas air mata kedaluwarsa bisa picu gagal nafas, kebutaan, bahkan kematian. ğŸ¥€ğŸ˜”  https://t.co/Ze29qf5h7h",kontra
turut berduka cita semoga diterima baik disisinyaâœ¨ğŸ—ï¸ tragedi kanjuruhan smg segera terselesaikan  https://t.co/cCmVBdofF7,pro
"Tanggapi Tragedi Kanjuruhan, PSS Sleman Komitmen Ambil 6 Sikap Tegas Ini  https://t.co/8CalqAUElk",kontra
"@rifattack @Jaetype1 @sincerelyluns @LORDYIB0 @convomfs bukann ğŸ˜­, itu dia kasih tau kalau indo masi berduka soal tragedi bola itu trus mau diceritain ttg kanjuruhan. eh ternyata dia bukan org indo tapi org bruneiii gituu",kontra
